ID,EXTERNAL_ID,STEPS,SUBMISSION_TIME,UPDATED_AT
7289709,7789,1650,"2024-04-01T02:00:00.000+0200","2024-04-01T16:00:01.676+0200"
7292435,7789,1200,"2024-04-01T02:00:00.000+0200","2024-04-01T22:00:01.609+0200"
7268755,7789,4635,"2024-03-29T01:00:00.000+0100","2024-03-29T12:30:01.395+0100"
5600928,7789,5,"2023-02-16T11:29:28.000+0100","2023-02-16T11:29:39.784+0100"
5590822,7789,3350,"2023-02-13T01:00:00.000+0100","2023-02-13T16:00:08.725+0100"
5600929,7789,10,"2023-02-16T11:29:55.000+0100","2023-02-16T11:29:59.986+0100"
5749701,8090,4850,"2023-03-22T20:57:07.000+0100","2023-03-22T20:57:25.756+0100"
5743053,8090,3144,"2023-03-20T01:00:00.000+0100","2023-03-21T12:30:01.107+0100"
5743596,8090,3600,"2023-03-21T14:52:23.000+0100","2023-03-21T14:52:33.073+0100"
5743644,8090,5260,"2023-03-21T01:00:00.000+0100","2023-03-21T16:00:04.200+0100"
5743054,8090,1250,"2023-03-21T01:00:00.000+0100","2023-03-21T12:30:01.131+0100"
5743529,8090,1355,"2023-03-21T12:39:05.000+0100","2023-03-21T12:39:33.181+0100"
5754016,8090,10055,"2023-03-23T20:48:55.000+0100","2023-03-23T20:49:07.324+0100"
5490987,8700,10814,"2023-01-15T01:00:00.000+0100","2023-01-16T22:00:02.380+0100"
5490988,8700,4175,"2023-01-16T01:00:00.000+0100","2023-01-16T22:00:02.400+0100"
5831695,10103,9104,"2023-04-11T20:29:36.000+0200","2023-04-11T18:29:43.216+0200"
5618211,10103,5832,"2023-02-19T19:21:03.000+0100","2023-02-19T18:21:11.074+0100"
5709748,10103,8221,"2023-03-13T18:41:12.000+0100","2023-03-13T17:41:25.767+0100"
5971158,10103,5960,"2023-05-14T17:49:53.000+0200","2023-05-14T15:50:00.635+0200"
5971089,10103,9503,"2023-05-12T02:00:00.000+0200","2023-05-14T13:44:29.379+0200"
5865298,10103,9975,"2023-04-19T19:58:13.000+0200","2023-04-19T17:58:19.712+0200"
5887805,10103,10253,"2023-04-24T20:27:53.000+0200","2023-04-24T18:28:00.654+0200"
5929506,10103,15165,"2023-05-04T00:55:03.000+0200","2023-05-03T22:55:09.539+0200"
5873418,10103,13970,"2023-04-21T17:20:31.000+0200","2023-04-21T15:20:39.254+0200"
5758131,10103,10482,"2023-03-24T21:56:50.000+0100","2023-03-24T20:56:57.028+0100"
5848135,10103,10786,"2023-04-15T19:57:09.000+0200","2023-04-15T17:57:17.095+0200"
5745423,10103,10929,"2023-03-21T21:53:47.000+0100","2023-03-21T20:54:10.308+0100"
5773832,10103,6945,"2023-03-28T20:34:32.000+0200","2023-03-28T18:34:38.512+0200"
5998875,10103,8083,"2023-05-20T02:00:00.000+0200","2023-05-21T14:10:17.422+0200"
5981927,10103,9554,"2023-05-17T00:54:32.000+0200","2023-05-16T22:54:38.390+0200"
5964202,10103,95680,"2023-05-12T21:07:07.000+0200","2023-05-12T19:07:17.782+0200"
6000026,10103,4280,"2023-05-21T21:40:43.000+0200","2023-05-21T19:40:49.846+0200"
